date,open,high,low,close,volume
2018-02-07,263.4956,267.2837,262.5928,262.6811,167376100
2018-02-08,263.0148,263.1718,252.789,252.8282,246449505
2018-02-09,255.9392,258.6968,248.206,256.6261,283565315
2018-02-12,258.9127,262.0334,256.7874,260.3945,143735976
2018-02-13,259.0501,261.6507,258.4024,261.0422,81223640
2018-02-14,259.3837,264.9677,259.3739,264.5653,120735685
2018-02-15,266.5084,267.951,263.7606,267.9412,111200286
2018-02-16,267.2444,270.1885,267.1954,268.0197,160420135
2018-02-20,266.9598,268.5693,265.4584,266.3416,86369662
2018-02-21,266.8323,269.5997,264.9088,265.0168,98883740
2018-02-22,266.0472,267.9608,264.6144,265.3602,110511290
2018-02-23,266.7243,269.5899,266.1944,269.5899,92766428
2018-02-26,270.7872,272.8284,270.1296,272.7204,86491406
2018-02-27,272.9265,273.7214,269.2464,269.3151,99099165
2018-02-28,270.5418,271.0423,266.2336,266.5869,121907767
2018-03-01,266.3514,268.0786,261.0422,262.7106,176855077
2018-03-02,260.846,264.6929,259.8842,264.0648,139083217
2018-03-05,262.74,267.8038,262.6222,267.1169,97307387
2018-03-06,268.2062,268.2945,266.1257,267.794,79213163
2018-03-07,265.3799,268.0884,265.164,267.6959,87063502
2018-03-08,268.4515,269.1287,267.3426,268.9913,66901150
